ID,Nazwa,Rzeka,Szerokość geograficzna,Długość geograficzna,Wysokość n.p.m.,geometry,index_right
249200220,ROZTOKA,Dunajec,49 38 25,20 23 00,815,POINT (20.383333333333333 49.640277777777776),0
249200240,PTASZKOWA,Łubinka,49 36 01,20 53 12,520,POINT (20.886666666666667 49.60027777777778),0
249200260,ŁĄCKO,Dunajec,49 33 35,20 26 22,366,POINT (20.439444444444444 49.55972222222222),0
249200270,TURBACZ,Raba,49 32 41,20 07 05,1 273,POINT (20.118055555555557 49.54472222222222),0
249200280,ŁABOWA,Kamienica,49 31 34,20 51 31,455,POINT (20.858611111111113 49.52611111111111),0
249200290,OCHOTNICA GÓRNA,Dunajec,49 30 37,20 14 41,617,POINT (20.244722222222222 49.51027777777778),0
249200320,ŁOPUSZNA,Dunajec,49 28 27,20 07 25,570,POINT (20.12361111111111 49.47416666666667),0
249200330,STUDZIONKI,Dunajec,49 29 43,20 12 43,904,POINT (20.211944444444445 49.49527777777778),0
249200340,DĘBNO,Białka,49 27 57,20 12 34,536,POINT (20.209444444444443 49.465833333333336),0
249200350,HUTA,Kamienica,49 27 54,20 57 24,756,POINT (20.956666666666667 49.465),0
249200360,MIZERNA,Dunajec,49 27 19,20 16 55,570,POINT (20.281944444444445 49.45527777777778),0
249200370,KROŚCIENKO,Dunajec,49 26 44,20 25 54,435,POINT (20.43166666666667 49.44555555555555),0
249200420,NIEDZICA,Niedziczanka,49 25 04,20 18 57,534,POINT (20.315833333333334 49.41777777777777),0
249200450,BIAŁKA TATRZAŃSKA,Białka,49 24 44,20 06 26,680,POINT (20.107222222222223 49.41222222222222),0
249200480,BUKOWINA TATRZAŃSKA,Białka,49 20 15,20 05 54,902,POINT (20.098333333333333 49.337500000000006),0
249200490,MUSZYNA,Poprad,49 20 59,20 53 11,445,POINT (20.886388888888888 49.349722222222226),0
249200530,ŁYSA POLANA,Białka,49 15 49,20 06 54,970,POINT (20.115000000000002 49.26361111111111),0
249200540,HALA GĄSIENICOWA,Dunajec,49 14 38,20 00 21,1 523,POINT (20.00583333333333 49.24388888888889),0
249200550,DOLINA PIĘCIU STAWÓW,Dunajec,49 12 49,20 02 52,1 674,POINT (20.047777777777778 49.21361111111111),0
249210070,BIECZ-GRUDNA,Ropa,49 44 07,21 17 44,285,POINT (21.295555555555556 49.73527777777778),0
249210090,GORLICE,Sękówka,49 39 19,21 10 16,300,POINT (21.171111111111113 49.655277777777776),0
249190030,LIBERTÓW,Wisła,49 58 21,19 53 42,318,POINT (19.895 49.972500000000004),0
249190050,RADZISZÓW,Skawinka,49 56 33,19 48 46,222,POINT (19.81277777777778 49.942499999999995),0
249190060,SIEPRAW,Skawinka,49 54 17,19 57 53,267,POINT (19.96472222222222 49.90472222222222),0
249190090,INWAŁD,Skawa,49 52 02,19 23 19,350,POINT (19.38861111111111 49.867222222222225),0
249190140,LESKOWIEC,Skawa,49 47 44,19 26 48,872,POINT (19.446666666666665 49.79555555555555),0
249190170,BOGDANÓWKA,Raba,49 45 34,19 47 17,812,POINT (19.78805555555556 49.75944444444445),0
249190190,MAKÓW PODHALAŃSKI,Skawa,49 43 33,19 41 17,361,POINT (19.688055555555557 49.725833333333334),0
249190240,LACHOWICE KRALE,Skawa,49 41 18,19 25 04,616,POINT (19.41777777777778 49.68833333333333),0
249190280,KRZECZÓW,Raba,49 41 01,19 54 36,548,POINT (19.91 49.683611111111105),0
249190350,ZAWOJA,Skawica,49 36 42,19 31 07,697,POINT (19.51861111111111 49.611666666666665),0
249190390,MARKOWE SZCZAWINY,Skawa,49 35 15,19 30 59,1 193,POINT (19.51638888888889 49.587500000000006),0
249190520,OBIDOWA,Raba,49 32 39,19 58 07,805,POINT (19.96861111111111 49.54416666666666),0
249190610,RATUŁÓW,Wielki Rogoźnik,49 23 30,19 53 01,679,POINT (19.88361111111111 49.391666666666666),0
249190620,BAŃSKA WYŻNA,Biały Dunajec,49 23 03,19 58 24,896,POINT (19.973333333333333 49.384166666666665),0
249190630,WITÓW,Czarny Dunajec,49 19 39,19 49 30,822,POINT (19.825 49.3275),0
249190640,NOWE BYSTRE,Wielki Rogoźnik,49 19 56,19 55 45,870,POINT (19.929166666666667 49.33222222222223),0
249190660,KOŚCIELISKO-KIRY,Kirowa Woda,49 16 39,19 52 10,922,POINT (19.869444444444444 49.277499999999996),0
249190680,HALA ORNAK,Dunajec,49 13 45,19 51 34,1109,POINT (19.859444444444446 49.22916666666667),0
